municipio,matfund,matfundpop,matmed,matmedpop,docfund,docfundpop,docmed,docmedpop,nestabfund,nestabfundpop,nestabmed,nestabmedpop,populacao,idh,pib
130360,2553,0.10448,797,0.03262,247,0.01011,51,0.00209,36,0.00147,4,0.00016,24436,0.479,5159.77
130370,5946,0.27069,1498,0.06820,400,0.01821,86,0.00392,39,0.00178,7,0.00032,21966,0.490,7477.54
130380,11403,0.25444,2707,0.06040,955,0.02131,332,0.00741,233,0.00520,16,0.00036,44816,0.609,7037.06
130390,8113,0.21065,2278,0.05915,483,0.01254,109,0.00283,78,0.00203,7,0.00018,38515,0.521,6186.16
130395,1906,0.13928,633,0.04626,156,0.01140,57,0.00417,24,0.00175,2,0.00015,13685,0.577,7566.82
130400,2117,0.23238,713,0.07827,171,0.01877,51,0.00560,11,0.00121,3,0.00033,9110,0.632,10453.73
130406,12987,0.20139,3899,0.06046,586,0.00909,242,0.00375,50,0.00078,9,0.00014,64488,0.616,7255.96
130410,4247,0.24551,759,0.04388,312,0.01804,59,0.00341,83,0.00480,3,0.00017,17299,0.502,18896.71
130420,15492,0.25754,3621,0.06020,838,0.01393,220,0.00366,94,0.00156,12,0.00020,60154,0.639,12008.83
130423,3816,0.20505,728,0.03912,315,0.01693,84,0.00451,54,0.00290,4,0.00021,18610,0.548,6591.02
130426,3433,0.25644,514,0.03840,231,0.01726,60,0.00448,44,0.00329,4,0.00030,13387,0.527,13881.45
130430,2905,0.17732,1018,0.06214,177,0.01080,61,0.00372,33,0.00201,3,0.00018,16383,0.620,17566.03
130440,3243,0.14390,811,0.03599,229,0.01016,74,0.00328,30,0.00133,4,0.00018,22537,0.588,6450.77
140002,2082,0.16798,523,0.04220,199,0.01606,94,0.00758,33,0.00266,8,0.00065,12394,0.484,14119.38
140005,3136,0.20054,517,0.03306,232,0.01484,87,0.00556,34,0.00217,9,0.00058,15638,0.542,17453.31
140010,56346,0.15011,14735,0.03925,2510,0.00669,1007,0.00268,162,0.00043,52,0.00014,375374,0.752,26924.03
140015,3317,0.27062,457,0.03728,242,0.01974,94,0.00767,31,0.00253,9,0.00073,12257,0.626,22359.75
140017,3506,0.19622,642,0.03593,273,0.01528,109,0.00610,45,0.00252,12,0.00067,17868,0.619,14684.91
140020,3926,0.18206,902,0.04183,229,0.01062,120,0.00556,32,0.00148,8,0.00037,21564,0.624,16852.66
140023,1722,0.17307,318,0.03196,103,0.01035,47,0.00472,22,0.00221,4,0.00040,9950,0.639,17175.63
140028,1431,0.12336,239,0.02060,99,0.00853,33,0.00284,19,0.00164,3,0.00026,11600,0.582,13932.51
140030,3025,0.17258,682,0.03891,158,0.00901,69,0.00394,18,0.00103,5,0.00029,17528,0.665,17804.20
140040,3339,0.30231,671,0.06075,298,0.02698,147,0.01331,70,0.00634,15,0.00136,11045,0.594,14108.20
140045,3499,0.22458,559,0.03588,301,0.01932,118,0.00757,47,0.00302,14,0.00090,15580,0.650,13880.70
140047,5224,0.17689,990,0.03352,278,0.00941,83,0.00281,37,0.00125,7,0.00024,29533,0.619,18832.65
140050,1179,0.14642,234,0.02906,71,0.00882,27,0.00335,8,0.00099,2,0.00025,8052,0.655,20041.66
140060,829,0.10547,146,0.01858,50,0.00636,17,0.00216,6,0.00076,2,0.00025,7860,0.649,15710.68
140070,4021,0.38944,576,0.05579,339,0.03283,103,0.00998,86,0.00833,12,0.00116,10325,0.453,11847.26
150010,26935,0.17234,7544,0.04827,1204,0.00770,547,0.00350,187,0.00120,25,0.00016,156292,0.628,8718.18
150013,1220,0.16527,315,0.04267,46,0.00623,10,0.00135,8,0.00108,1,0.00014,7382,0.622,11151.27
150020,13335,0.24021,2290,0.04125,583,0.01050,62,0.00112,158,0.00285,2,0.00004,55513,0.506,17231.44
150030,11638,0.29946,1057,0.02720,607,0.01562,26,0.00067,102,0.00262,1,0.00003,38863,0.489,9392.33
150034,2227,0.08175,536,0.01968,104,0.00382,19,0.00070,9,0.00033,2,0.00007,27241,0.564,16599.28
150040,12722,0.22525,2796,0.04950,658,0.01165,87,0.00154,126,0.00223,3,0.00005,56480,0.564,11027.84
150050,8391,0.24577,1703,0.04988,463,0.01356,56,0.00164,70,0.00205,3,0.00009,34142,0.642,20064.73
150060,20539,0.18145,4741,0.04188,753,0.00665,214,0.00189,120,0.00106,12,0.00011,113195,0.665,22439.90
150070,8411,0.29145,1236,0.04283,465,0.01611,33,0.00114,101,0.00350,1,0.00003,28859,0.484,7191.73
150080,69433,0.13211,21846,0.04157,2996,0.00570,1288,0.00245,240,0.00046,64,0.00012,525566,0.718,13523.96
150085,6645,0.24465,1131,0.04164,253,0.00931,31,0.00114,44,0.00162,3,0.00011,27161,0.548,12961.42
150090,10119,0.22232,2450,0.05383,410,0.00901,70,0.00154,73,0.00160,4,0.00009,45516,0.520,7438.97
150095,4943,0.15999,1198,0.03878,224,0.00725,47,0.00152,76,0.00246,3,0.00010,30896,0.519,9103.49
150100,2918,0.17824,539,0.03292,164,0.01002,21,0.00128,49,0.00299,1,0.00006,16371,0.541,9074.85
150110,5369,0.17891,876,0.02919,267,0.00890,18,0.00060,56,0.00187,1,0.00003,30009,0.471,5912.55
150120,6268,0.13504,1795,0.03867,380,0.00819,46,0.00099,56,0.00121,2,0.00004,46416,0.578,7733.49
150125,688,0.20785,167,0.05045,35,0.01057,6,0.00181,7,0.00211,1,0.00030,3310,0.594,23894.69
150130,21921,0.17925,5644,0.04615,817,0.00668,211,0.00173,108,0.00088,11,0.00009,122294,0.662,39732.60
150140,176320,0.11868,62366,0.04198,7603,0.00512,3609,0.00243,544,0.00037,171,0.00012,1485732,0.746,20821.46
150145,3483,0.19763,807,0.04579,173,0.00982,44,0.00250,42,0.00238,1,0.00006,17624,0.588,9163.66
150150,10969,0.17781,3566,0.05781,406,0.00658,124,0.00201,47,0.00076,6,0.00010,61689,0.665,22854.31
150157,2570,0.15260,563,0.03343,195,0.01158,78,0.00463,16,0.00095,6,0.00036,16841,0.589,9967.05
150160,2345,0.14622,629,0.03922,106,0.00661,38,0.00237,33,0.00206,2,0.00012,16038,0.546,8603.89
150170,23233,0.18375,5620,0.04445,949,0.00751,400,0.00316,161,0.00127,19,0.00015,126436,0.600,8985.82
150172,3262,0.21475,691,0.04549,168,0.01106,45,0.00296,28,0.00184,2,0.00013,15190,0.613,16342.10
150175,1504,0.20346,339,0.04586,78,0.01055,18,0.00244,11,0.00149,1,0.00014,7392,0.591,11218.30
150178,9022,0.13936,1999,0.03088,397,0.00613,66,0.00102,29,0.00045,3,0.00005,64738,0.568,9040.32
150180,26390,0.25900,3654,0.03586,1111,0.01090,135,0.00132,254,0.00249,8,0.00008,101891,0.503,7440.60
150190,5652,0.19603,1637,0.05678,368,0.01276,59,0.00205,67,0.00232,2,0.00007,28832,0.552,17606.32
150195,4538,0.13678,925,0.02788,228,0.00687,38,0.00115,50,0.00151,2,0.00006,33178,0.473,5709.40
150200,4187,0.17843,782,0.03332,182,0.00776,53,0.00226,42,0.00179,4,0.00017,23466,0.546,7463.35
150210,28556,0.20937,6096,0.04470,1511,0.01108,218,0.00160,208,0.00153,13,0.00010,136390,0.577,8825.69
